,source,reference,translation,z-score,avg-score,annotators,bert_metric_p,bert_metric_r,bert_metric_f,bleu_metric_mod_prec,bleu_metric_sen_bleu,Rouge1_metric_f,Rouge1_metric_r,Rouge1_metric_p,Rouge2_metric_f,Rouge2_metric_r,Rouge2_metric_p,RougeL_metric_f,RougeL_metric_r,RougeL_metric_p
289,Those returning to school may notice that there has been a change in school during the summer.,"Kouluihin palaavat voivat huomata, että koulu on muuttunut kesän aikana.","Koulunpenkille palaava saattaa huomata, että koulussa on kesän aikana tapahtunut muutos.",1.24185194551932,81.0,1,0.6029636859893799,0.727071225643158,0.6637164950370789,0.2159090909090909,6.931188022235891e-155,0.47619047120181407,0.5,0.45454545454545453,0.21052631080332423,0.2222222222222222,0.2,0.47619047120181407,0.5,0.45454545454545453
6113,In the next morning local time two bombs went off in Surat Thani.,Seuraavana aamuna paikallista aikaa kaksi pommia meni poikki Surat.,Seuraavana aamuna paikallista aikaa räjähti kaksi pommia Surat Thanissa.,-0.300236296925231,52.0,1,0.7316929697990417,0.770602285861969,0.7512932419776917,0.2361111111111111,7.2482043364990615e-155,0.7777777727777778,0.7777777777777778,0.7777777777777778,0.4999999950000001,0.5,0.5,0.7777777727777778,0.7777777777777778,0.7777777777777778
877,"Before licking each object, he used a luminometer to show himself, and us, just what he was getting in to.","Ennen nuolee jokaisen objektin, hän käyttää luminometer itselleen ja meille vain mitä hän oli tulossa sisään.","Ennen jokaisen kohteen nuolaisemista hän käytti fotometriä näyttääkseen itselleen ja meille tilanteen, johon hän oli joutumassa.",-0.796834708093489,16.0,1,0.4198145866394043,0.500594973564148,0.46007251739501953,0.15625,5.8963360690495975e-155,0.4999999950000001,0.5,0.5,0.19999999500000015,0.2,0.2,0.4666666616666667,0.4666666666666667,0.4666666666666667
528,"Inhabitants of London can attempt to protect from air pollution for example with different masks, but a more practical solution is regular cleansing.","Lontoon asukkaat voivat yrittää suojata ilmansaasteilta esimerkiksi erilaisilla naamioilla, mutta käytännöllisin ratkaisu on säännöllinen puhdistus.","Lontoon asukkaat voivat yrittää suojautua ilmansaasteilta esimerkiksi erilaisilla naamioilla, mutta käytännöllisemmäksi ratkaisuksi suositellaan säännöllistä ihon puhdistamista.",0.108908734480505,50.0,1,0.7411484122276306,0.8655716776847839,0.8019798994064331,0.13559322033898305,5.492767335024335e-155,0.5806451562955255,0.6,0.5625,0.4827586156956005,0.5,0.4666666666666667,0.5806451562955255,0.6,0.5625
6209,"The grandparents say Brown suffered multiple gunshot wounds, including in his groin, leg, arm and abdomen, but was awake when he was transported to the hospital.","Isovanhemmat sanovat, että Brown kärsivät moninkertaisten gunshotin haavat, sisällyttäen hänen nivuseen, jalkaan, aseeseen ja vatsaan, mutta oli awake kun häntä kuljetettiin sairaalalle.","Isovanhemmat sanovat, että Brown sai useita ampumahaavoja muun muassa nivusiin, jalkaan, käteen ja vatsaan, mutta hän oli tajuissaan, kun hänet siirrettiin sairaalaan.",-0.404118298052697,49.0,1,0.6425830125808716,0.5620215535163879,0.602043628692627,0.1317365269461078,5.414088125606386e-155,0.45454544954545456,0.45454545454545453,0.45454545454545453,0.2380952330952382,0.23809523809523808,0.23809523809523808,0.45454544954545456,0.45454545454545453,0.45454545454545453
6708,"Teams of women cooked for male farmworkers, and fresh-baked pie was served at breakfast, lunch and dinner.","Naisten Joukkueet keitettiin koirasfarmworkeria varten, ja fresh-baked piirakkaa olivat palveltiin aamiaisen luona, lounas ja illallinen.","Naisten ryhmät tekivät ruokaa miespuolisille maatilan työntekijöille, ja tuoretta piirakkaa tarjoiltiin aamiaisella, lounaalla ja päivällisellä.",-0.366196483051901,37.0,1,0.27724549174308777,0.3258642256259918,0.30210354924201965,0.1388888888888889,5.559118958106588e-155,0.26666666166666675,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.2142857092857144,0.21428571428571427,0.21428571428571427
6634,He introduced new ingredients.,Hän toi esiin uusia aineksia.,Hän toi uusia ainesosia.,1.5466552638946998,85.0,2,0.8069112300872803,0.675212562084198,0.7395034432411194,0.5,1.0547686614863434e-154,0.6666666617283951,0.6,0.75,0.2857142808163266,0.25,0.3333333333333333,0.6666666617283951,0.6,0.75
5899,"Development experts have praised Ethiopia's leaders for visionary infrastructure planning, such as the new commuter train, and measurable strides in fighting poverty.","Kehitysasiantuntijat ovat kehuneet Etiopian johtajia visioita infrastruktuurin suunnittelusta, kuten uudesta työmatkajunasta, ja mitattavista harppauksia köyhyyden torjunnassa.","Kehitysasiantuntijat ovat ylistäneet Etiopian johtajia näkemyksellisestä infrastruktuurisuunnittelusta, kuten uudesta työmatkajunasta, ja huomattavista edistysaskeleista köyhyydenvastaisessa taistelussa.",1.18873905256845,95.0,1,0.6206790208816528,0.6936545968055725,0.6569961309432983,0.12315270935960591,5.234728972930734e-155,0.5161290272632676,0.5,0.5333333333333333,0.3448275812128419,0.3333333333333333,0.35714285714285715,0.5161290272632676,0.5,0.5333333333333333
481,"The victim's brother, Louis Galicia, told ABC station KGO in San Francisco that Frank, previously a line cook in Boston, had landed his dream job as line chef at San Francisco's Sons & Daughters restaurant six months ago.","Uhrin veli Louis Galicia kertoi San Franciscossa ABC-asemalle KGO, että Frank, joka oli aiemmin Bostonissa, oli purkanut unelma-työpaikkaansa viidenneksi San Franciscon Sons & Daughters -ravintolassa kuusi kuukautta sitten.","Uhrin veli, Louis Galicia, kertoi ABC:n kanava KGO:lle San Franciscossa, että Frank, joka oli aiemmin toiminut linjastokokkina Bostonissa, oli saanut unelmatyöpaikkansa sanfranciscolaisen Sons & Daughters -ravintolan linjastokeittiömestarina kuusi kuukautta sitten.",0.7901911890746122,76.0,1,0.6089304685592651,0.7184330224990845,0.662761926651001,0.13962264150943396,5.573784079764445e-155,0.5862068915576695,0.6071428571428571,0.5666666666666667,0.32142856643494905,0.3333333333333333,0.3103448275862069,0.5818181768330579,0.6153846153846154,0.5517241379310345
804,"Teija Haltia, who lives in Perniö, was at Salo’s K-Citymarket on Thursday buying bulk sweets, when she saw a funny sign.","Teija Haltia, joka asuu Perniö, työskenteli Salon K-Citymarket torstaina ostaa irtotavarana makeisia, kun hän näki funny merkki.","Perniössä asuva Teija Haltia oli torstaina ostamassa irtokarkkeja Salon K-Citymarketista, kun silmiin osui hauska kyltti.",0.0114097064571668,61.0,1,0.49185052514076233,0.5048988461494446,0.4989731013774872,0.23140495867768596,7.17560537016006e-155,0.24999999501953132,0.23529411764705882,0.26666666666666666,0.0,0.0,0.0,0.18749999501953143,0.17647058823529413,0.2
1773,"The longest-living vertebrate in the world was confirmed to be the Greenland shark, stated a study published by Science.","Pisimpään elävää maailmanmestaruutta vahvistettiin Grönlannin lavalla, totesi Sciencen julkaisema tutkimus.","Maailman pisimpään eläväksi selkärankaiseksi on varmistunut jäähai, kertoo Science-lehdessä julkaistu tutkimus.",-1.20676725253231,14.0,1,0.38483473658561707,0.36963626742362976,0.3779726028442383,0.1981981981981982,6.6408254728917256e-155,0.09523809024943337,0.1,0.09090909090909091,0.0,0.0,0.0,0.09523809024943337,0.1,0.09090909090909091
4947,It is in itself a great shame.,Se on sinänsä suuri häpeä.,Se on jo itsessään suuri vääryys.,0.784314350582567,63.0,1,0.5522604584693909,0.5924469828605652,0.5726944804191589,0.3333333333333333,8.612150057732663e-155,0.5454545404958678,0.6,0.5,0.22222221728395072,0.25,0.2,0.5454545404958678,0.6,0.5
2886,There is nothing like this in the Government’s proposal.,"Siellä ei ole mitään, kuten tämä Hallituksen ehdotus.",Hallituksen esitykseen ei sisälly tällaista.,-0.671063756649692,21.0,1,0.32663920521736145,0.33658361434936523,0.3324228823184967,0.29545454545454547,8.108071197689688e-155,0.3076923029585799,0.25,0.4,0.0,0.0,0.0,0.1538461491124262,0.125,0.2
2588,The investigation has repercussions beyond the question of whether the American-led bombing campaign in Iraq and Syria is succeeding (an assertion now made by a growing number of Defense officials).,"Tutkinnassa on vaikutuksia myös siitä, onko Yhdysvaltain johtama pommituskampanjaa Irakissa ja Syyriassa (toteamus on menestynyt yhä useammalla puolustusministeriön virkamiehiä).","Tutkimuksella on muitakin jälkiseuraamuksia, kuin vain mitä tulee kysymykseen siitä, ovatko Yhdysvaltain johtamat pommitustoimet Irakissa ja Syyriassa menestyksekkäitä (kuten kasvava määrä puolustusviranomaisista nyt väittää).",-0.32454515968963,31.0,1,0.4233763813972473,0.5040360689163208,0.4635733366012573,0.12389380530973451,5.250455860453266e-155,0.27906976250946464,0.3157894736842105,0.25,0.09756097068411684,0.1111111111111111,0.08695652173913043,0.2857142808163266,0.3333333333333333,0.25
3556,"In the midst of Olympic mania, they promise a quiet, lovely moment, one likely to be overlooked in the general melee.","Ja jos tajunta kerää on olla saavuttaa ainoa ohi uhri auki mies atleetit sillä ogling ja havainnollistaminen - yhtä Yhdysvallat miehet voimistelijat taannoin kosii, Wall Streetin perusteella Päiväkirja - hra Dooley ainoa odottaa gasping uusi fan tyvi.","Olympiahuuman keskellä ne tarjoavat hiljaisen, viehättävän hetken, joka luultavimmin ei huomata yleisessä kaaoksessa.",-1.38256600093424,0.0,2,0.041669540107250214,0.012280600145459175,0.028037358075380325,0.1794871794871795,6.319590421966513e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4889,"The aurora borealis are the main assets for our winter travel, and they are strongly connected with midwinter and snowy landscapes.","Aurora Borealis on talvimatkamme pääasiallinen omaisuus, ja he ovat vahvasti kytköksissä toisiinsa ja lumiset maisemiin.","Revontulet ovat talvimatkailumme valttikortteja, ja ne yhdistetään vahvasti sydäntalveen ja lumisiin maisemiin.",0.0723621792857048,49.0,1,0.41251835227012634,0.36731085181236267,0.3904041051864624,0.18018018018018017,6.3317786501111465e-155,0.37037036543209884,0.3333333333333333,0.4166666666666667,0.0,0.0,0.0,0.31999999507200005,0.2857142857142857,0.36363636363636365
1394,"Some of these thing are habits that, either directly or indirectly, will affect a person’s health in a way that prolongs their life.","Näitä asioita ovat tavat, jotka joko suoraan tai välillisesti vaikuttaa ihmisen terveyteen tavalla, joka pitkittää elämäänsä.","Osa asioista on tapoja, jotka suoraan tai välillisestä vaikuttavat henkilön terveyteen niin, että hänen elämänsä pitenee.",-0.211103415252736,32.0,1,0.638698160648346,0.6316617131233215,0.6356236934661865,0.17355371900826447,6.214256538090456e-155,0.24999999500000009,0.25,0.25,0.06666666166666704,0.06666666666666667,0.06666666666666667,0.24999999500000009,0.25,0.25
3540,Over half of the tickets cost under 16 euros.,"Sisällä Lontoo Olympics, vapaaehtoiset työläiset ja lauma miehistöt voimme on päälle tyhjät pytyt, mutta sisällä Rio omistaa et on antaa yhä, yhtä organisoijat kaipaa tuohi ja yritys myydä liput kunnes aivan viimeinen tovi.",Yli puolet lipuista maksavat alle 16 euroa.,-1.60877935967512,3.0,1,0.1118963211774826,-0.011059101670980453,0.04925360158085823,0.3488372093023256,8.810156385066194e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,Frankie Dettori celebrated the milestone with a trademark flying dismount,Frankie Dettori juhli virstanpylvään tavaramerkillä purjehtii,Frankie Dettori juhlisti virstanpylvästä tavaramerkikseen muodostuneella lennokkaalla laskeutumisella satulasta.,-1.02741030481749,31.0,2,0.31512755155563354,0.5419140458106995,0.4228181540966034,0.1875,6.459112543299825e-155,0.2666666618666667,0.3333333333333333,0.2222222222222222,0.1538461491124262,0.2,0.125,0.2666666618666667,0.3333333333333333,0.2222222222222222
171,"Many still have an image that the number of jobs does not depend on the number of working people, so that it is almost constant.","Monilla on vielä kuva, että työpaikkojen määrä ei riipu työväestön määrästä, joten se on lähes vakio.","Monella on edelleenkin kuvitelma, että työpaikkojen määrä on riippumaton työssäkäyvien määrästä, melkein vakio siis.",1.18169797144023,88.0,1,0.5677000284194946,0.6499889492988586,0.6085549592971802,0.1896551724137931,6.496127817928412e-155,0.46666666168888893,0.4375,0.5,0.14285713788265325,0.13333333333333333,0.15384615384615385,0.35714285216836733,0.3333333333333333,0.38461538461538464
4960,"""Intelligence products approved by senior Centcom leaders typically provided a more positive depiction of U.S. antiterrorism efforts than was warranted by facts on the ground and were consistently more positive than analysis produced by other elements of the intelligence community,"" a news release about the report said.","""Senior Centcom -johtajien hyväksymät älykkäät tuotteet tarjosivat tyypillisesti aiempaa myönteisemmän kuvauksen US Anterritiorm -toimista, jotka olivat perusteltuja paikan päällä ja jotka olivat johdonmukaisesti myönteisempiä kuin muiden tiedusteluyhteisöjen tuottamat analyysit"", tiedotteessa kerrotaan.","”Korkea-arvoisempien Centcomin johtajien hyväksymät tiedustelun tuotokset tyypillisesti antoivat Yhdysvaltain terrorisminvastaisista pyrkimyksistä positiivisemman kuvan, kuin mitä paikan päällä tapahtuneet tosiasiat oikeuttivat. Ne olivat säännönmukaisesti positiivisempia, kuin tiedusteluyhteisön muiden tekijöiden tuottamat analyysit”, raportin lehdistötiedotteessa sanottiin.",0.108908734480505,50.0,1,0.38098084926605225,0.4428855776786804,0.4121789336204529,0.06878306878306878,3.912127404074675e-155,0.24999999500488287,0.25806451612903225,0.24242424242424243,0.032258059521332726,0.03333333333333333,0.03125,0.2622950769793067,0.27586206896551724,0.25
964,"If the image isn’t visible, you can see it here.","Jos kuva ei ole näkyvissä, voit tarkistaa tästä.","Jos kuva ei näy, voit katsoa sen täältä.",1.05911916954532,76.0,1,0.6394259929656982,0.6574862599372864,0.6488535404205322,0.425,9.724486566732153e-155,0.4999999950000001,0.5,0.5,0.2857142807142858,0.2857142857142857,0.2857142857142857,0.4999999950000001,0.5,0.5
603,"There was the handshake, yes.","Kättely, kyllä oli.","Kyllä, tilaisuudessa käteltiin.",0.0806643738754774,63.0,1,0.33246615529060364,0.46362683176994324,0.39661502838134766,0.3548387096774194,8.885619488193711e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5812,"According to Wez, some older customers have taken umbrage with the contactless payment system in particular.",Wezin mukaan jotkut vanhemmat asiakkaat ovat ottaneet maksujärjestelmän erityisesti maksujärjestelmän.,Wezin mukaan jotkut vanhemmat asiakkaat ovat loukkaantuneet erityisesti lähimaksujärjestelmästä.,0.219173708712099,67.0,1,0.6269099712371826,0.6805552244186401,0.6538388729095459,0.21875,6.976638922493247e-155,0.7368421002770082,0.7,0.7777777777777778,0.5882352891349482,0.5555555555555556,0.625,0.7777777727777778,0.7777777777777778,0.7777777777777778
6549,"But now NHS watchdog NICE has advised that it should be given to people for four years, to further reduce the risk of cardiovascular problems.","Mutta nyt NHS VAHTIKOIRANICE on neuvonut, että sen pitäisi antaa ihmisille neljäksi vuodeksi, kauemmin vähentää sydän ja verisuoniongelmien riskiä.","Mutta nyt NHS:n valvoja NICE on neuvonut, että sitä pitäisi antaa ihmisille neljän vuoden ajan, jotta voitaisiin yhä laskea sydän- ja verisuoniongelmien riskiä.",-0.3348636306343869,51.0,2,0.6883699893951416,0.6592070460319519,0.6740947365760803,0.1875,6.459112543299825e-155,0.5238095188548754,0.5789473684210527,0.4782608695652174,0.34999999505000007,0.3888888888888889,0.3181818181818182,0.5238095188548754,0.5789473684210527,0.4782608695652174
6293,"Esa Huovila, who runs a real estate agency and a children’s play club in the same premises in Phuket, is not worried about the effect the Thailand’s bomb attacks have on tourism.","Esa Huovila, joka ajaa kiinteistön agentuurin ja lapsien pelin klubin samassa premisseissä Phuketissa, murehtia vaikutusta Thaimaan pommin hyökkäyksiä olla matkailulla.",Thaimaan Phuketissa kiinteistönvälitystoimistoa ja samassa kiinteistössä sijaitsevaa lasten leikkikerhoa pyörittävä Esa Huovila ei ole huolestunut Thaimaan pommi-iskujen vaikutuksesta turismiin.,-0.221201332036576,45.0,1,0.3595685362815857,0.3563777804374695,0.35876286029815674,0.12886597938144329,5.354776577716315e-155,0.20512820013149255,0.2,0.21052631578947367,0.0,0.0,0.0,0.15789473185595584,0.15,0.16666666666666666
420,Going shopping regularly can prolong your life.,Ostosten tekeminen säännöllisesti voi pidentää elämääsi.,Säännöllinen ostoksilla käyminen voi pidentää ikää.,0.8032932831817141,69.0,1,0.4824329614639282,0.5242812633514404,0.5037604570388794,0.3137254901960784,8.355012788635788e-155,0.3333333283333334,0.3333333333333333,0.3333333333333333,0.19999999500000015,0.2,0.2,0.3333333283333334,0.3333333333333333,0.3333333333333333
5292,There was also argument in the court about whether the house had been extended against the building permit.,"Meillä oli myös tuomioistuimen argumentti siitä, onko talo oli laajennettu rakennusta vastaan.","Oikeudessa kiisteltiin myös siitä, oliko asuntoa laajennettu rakennusluvan vastaisesti.",-0.220010262272699,41.0,1,0.5679182410240173,0.5373484492301941,0.5530734658241272,0.22988505747126436,7.1520013411684584e-155,0.2857142808163266,0.25,0.3333333333333333,0.0,0.0,0.0,0.2999999950500001,0.2727272727272727,0.3333333333333333
2873,"As its hydrogen escaped, all that was left was a thick atmosphere of carbon dioxide with a deathly greenhouse gas effect -- thus, the Venus we know today.","Sen vety on karannut, kaikki mitä oli jäljellä oli paksu ilmakehän hiilidioksidin kanssa deathly kasvihuonekaasujen vaikutus-näin, Venus tiedämme tänään.","Kun sen vety pakeni, jäljelle jäi vain paksu hiilidioksidi-ilmakehä tappavine kasvihuonekaasuilmiöineen - Venus, jonka nykyään tunnemme.",-0.508000299180163,46.0,2,0.3873569965362549,0.36952728033065796,0.37916651368141174,0.16911764705882354,6.134323560775429e-155,0.11428570932244919,0.10526315789473684,0.125,0.0,0.0,0.0,0.11764705384083066,0.1111111111111111,0.125
1374,"For example, a Centcom official stated publicly that a major military assault to take back Mosul could begin as early as April or May 2015.","Esimerkiksi Centcom virkamies totesi julkisuudessa, että merkittävä sotilaallinen hyökkäys ottamaan takaisin seurakunnasta voisi alkaa jo huhtikuussa tai toukokuussa 2015.","Centcomin viranomainen esimerkiksi lausui julkisesti, että suurhyökkäys Mosulin takaisin valtaamiseksi voisi alkaa jopa niin aikaisin, kuin huhti- tai toukokuussa 2015.",-0.0280623862400004,37.0,1,0.5557295083999634,0.5956187844276428,0.5760138630867004,0.16071428571428573,5.979976219279699e-155,0.3589743539776463,0.3684210526315789,0.35,0.1621621571658146,0.16666666666666666,0.15789473684210525,0.3589743539776463,0.3684210526315789,0.35
983,"“There might well be some unknown depths”, Kannela ponders.","""Voi hyvinkin olla tuntematon syvyydessä"", Kannela pohtii.","""Sieltä voisi hyvinkin löytyä tuntemattomia syvänteitä"", Kannela pohtii.",-0.781507731735013,24.5,2,0.6335338950157166,0.7037272453308105,0.6684929728507996,0.2916666666666667,8.055928719880389e-155,0.3999999950222222,0.42857142857142855,0.375,0.1538461488757398,0.16666666666666666,0.14285714285714285,0.3999999950222222,0.42857142857142855,0.375
1330,"According to K-Plus Oy Managing Director Ismo Riitala, the feedback from the programme has been mainly positive.","Mukaan K Plus Oy:n toimitusjohtaja Ismo Riitala, palaute on ollut pääosin positiivista.",K-Plus Oy:n toimitusjohtajan Ismo Riitalan mukaan ohjelmasta saatu palaute on ollut pääasiassa myönteistä.,0.0460370401663221,62.0,1,0.5416280031204224,0.5917652249336243,0.5669395327568054,0.22641509433962265,7.097818732445626e-155,0.39999999500800004,0.4166666666666667,0.38461538461538464,0.1739130384877128,0.18181818181818182,0.16666666666666666,0.39999999500800004,0.4166666666666667,0.38461538461538464
6594,Moelfre Bay rescue: Three men are 'lucky to be alive',Moelfre Bay pelastus: Kolmea ihmistä ovat 'onnekkaita olla eläviä.,Pelastus Moelfre Baylla: Kolme miestä ovat ”onnekkaita ollessaan elossa”,0.693653617597312,66.0,1,0.4879101812839508,0.531195878982544,0.5099347829818726,0.2916666666666667,8.055928719880389e-155,0.22222221722222232,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.22222221722222232,0.2222222222222222,0.2222222222222222
6370,"In truth, the thieves take even more bikes, because only a part of the victims report a theft to the police.","Totuudessa, varakat ottavat jopa enemmän bike, koska vain osa uhreja raportoi varkauden poliisille.","Todellisuudessa varkaat vievät enemmänkin pyöriä, sillä vain osa uhreista ilmoittaa varkauden poliisille.",-0.32454515968963,31.0,1,0.6058651208877563,0.6774232983589172,0.6415113806724548,0.2,6.6709427497276e-155,0.3199999950080001,0.3076923076923077,0.3333333333333333,0.1739130384877128,0.16666666666666666,0.18181818181818182,0.3199999950080001,0.3076923076923077,0.3333333333333333
1020,One explanation could be that an ambitious person most likely lives in a way that brings extra years to their life.,"Yksi selitys voisi olla, että kunnianhimoinen henkilö todennäköisesti elää tavalla, joka tuo ylimääräistä vuotta elämästään.","Yksi selitys voi olla, että kunnianhimoinen ihminen todennäköisesti elää tavalla, joka tuo hänen elämäänsä lisävuosia.",0.5654470458036519,77.0,1,0.8161851763725281,0.7959983944892883,0.8062872290611267,0.1864406779661017,6.440840618310061e-155,0.6666666616666668,0.6666666666666666,0.6666666666666666,0.4999999950000001,0.5,0.5,0.6666666616666668,0.6666666666666666,0.6666666666666666
6746,"I appreciate all the work that has been put in by my team, Devon and Cornwall Police and members of the community who bravely came forward to give us information.","Minä arvostan kaikkea työtä, joka on panna sisällä joukkueeni kanssa, Devonini ja Cornwall sellain yhteisösen Policeni ja jäsenien, joka urheasti tuli eteenpäin antaa meille tiedon.","Arvostan kaikkea tiimini, Devonin ja Cornwallin poliisin sekä rohkeiden, meille tietoa antaneiden yhteisön jäsenten tekemää työtä.",-0.482205853613657,37.0,1,0.2829013466835022,0.23908814787864685,0.26164141297340393,0.19230769230769232,6.541397549023557e-155,0.1463414586555623,0.12,0.1875,0.0,0.0,0.0,0.1538461490072322,0.13043478260869565,0.1875
6550,"In Queensland, three out of five people - mostly the elderly, immigrants, vulnerable workers, victims of violence and those without resources to fight unfair evictions and the like - are already turned away while seeking free legal advice and representation.","Queenslandissa, kolme viidessä ihmistä - enimmäkseen iäkästä, maahanmuuttajat, haavoittuvat työntekijät, väkivallan uhrit ja toiden ilman luonnonvaroja taistella epäoikeudenmukaiset häädöt ja tykkäys - ovat jo käännytetään ja samalla etsiä vapaita laillista neuvoa ja edustusta.","Queenslandissa kolme viidestä ihmisestä - pääasiassa vanhuksista, maahanmuuttajista, haavoittuvista työntekijöistä, väkivallan uhreista, niistä, joilla ei ole mahdollisuuksia taistella epäreiluja häätöjä ja vastaavia vastaan - käännytetään jo pois heidän etsiessään ilmaista oikeudellista neuvontaa ja edustusta.",-0.6017600372576789,23.0,1,0.5610679984092712,0.54303377866745,0.5525638461112976,0.08012820512820513,4.222453961381682e-155,0.29850745768768105,0.30303030303030304,0.29411764705882354,0.030769225770415014,0.03125,0.030303030303030304,0.2295081917334051,0.2413793103448276,0.21875
